ID;EMAIL;NOME;DT_NASC;SEXO;CADASTRO;CIDADE;ESTADO;RECEBE_EMAIL;;;;
11;11@testexp00.com.br;FRANCIELLY;12/10/1979;;18/12/2018;;;1;;;;
12;12@testexp00.com.br;ITALO;17/04/1958;;18/12/2018;;;0;;;;
15;15@testexp00.com.br;RENATO;17/04/1958;;18/12/2018;;;1;;;;
21;21@testexp00.com.br;FABIO;21/10/1958;;18/12/2018;;;1;;;;
41;41@testexp00.com.br;CARINA;21/10/1958;;18/12/2018;;;1;;;;
43;43@testexp00.com.br;TADEU;23/10/1958;;18/12/2018;;;0;;;;
44;44@testexp00.com.br;ANTONIO;23/10/1958;;18/12/2018;;;1;;;;
51;51@testexp00.com.br;PAULO;23/10/1958;;19/12/2018;;;0;;;;
54;54@testexp00.com.br;EDISSON;23/10/1958;;19/12/2018;;;1;;;;
59;59@testexp00.com.br;CAROLINE;23/10/1958;;20/12/2018;;;1;;;;
62;62@testexp00.com.br;DAVID;30/10/1958;;21/12/2018;;;1;;;;
66;66@testexp00.com.br;RAFAELA;23/02/1968;;21/12/2018;;;1;;;;
67;67@testexp00.com.br;CAROLINE;07/06/1968;;21/12/2018;;;1;;;;
68;68@testexp00.com.br;RODRIGO;24/08/1968;;21/12/2018;;;0;;;;
69;69@testexp00.com.br;CRISTINA;27/02/1958;;21/12/2018;;;1;;;;
71;71@testexp00.com.br;NATHALIA;27/02/1958;;22/12/2018;;;0;;;;
73;73@testexp00.com.br;LUCIANA;25/11/1979;;22/12/2018;;;0;;;;
74;74@testexp00.com.br;NATHALIA;25/11/1979;;22/12/2018;;;1;;;;
76;76@testexp00.com.br;MARIANA;24/08/1968;;23/12/2018;;;0;;;;
90;90@testexp00.com.br;ROSANE;15/08/1979;F;26/12/2018; ;;1;;;;
91;91@testexp00.com.br;REBECA;11/04/1988;;26/12/2018;;;1;;;;
93;93@testexp00.com.br;GLORIVAN;12/04/1988;;26/12/2018;;;0;;;;
96;96@testexp00.com.br;MARIANA;17/05/1990;;26/12/2018;;;1;;;;
98;98@testexp00.com.br;ARIELLE;26/05/1990;;27/12/2018;;;0;;;;
102;102@testexp00.com.br;RAFAEL;28/07/1979;;27/12/2018;;;0;;;;
107;107@testexp00.com.br;ERICA;01/08/1979;;27/12/2018;;;1;;;;
109;109@testexp00.com.br;ERIKA;04/08/1979;;28/12/2018;;;0;;;;
110;110@testexp00.com.br;FLAVIA;04/05/1958;;28/12/2018;;;0;;;;
114;114@testexp00.com.br;JULIANA;24/08/1968;;28/12/2018;;;0;;;;
117;117@testexp00.com.br;VINICIUS;16/11/1958;;28/12/2018;;;0;;;;
118;118@testexp00.com.br;ELIS;28/02/1968;;29/12/2018;;;0;;;;
119;119@testexp00.com.br;MARCIEL;24/08/1968;;29/12/2018;;;1;;;;
120;120@testexp00.com.br;ANGELA;24/11/1979;;29/12/2018;;;0;;;;
124;124@testexp00.com.br;PATRICIA;24/11/1979;;29/12/2018;;;1;;;;
130;130@testexp00.com.br;CHARLES;28/06/1958;;30/12/2018;;;1;;;;
131;131@testexp00.com.br;FERNANDA;22/10/1958;;31/12/2018;CANOAS;RS;0;;;;
132;132@testexp00.com.br;SILVIA;20/11/1958;;31/12/2018;;;1;;;;
137;137@testexp00.com.br;CRISTIAN;24/01/2001;;31/12/2018;;;0;;;;
139;139@testexp00.com.br;SHIRLEY;19/02/2001;;31/12/2018;;;1;;;;
143;143@testexp00.com.br;MARCELO;21/05/2001;;01/01/2019;;;0;;;;
148;148@testexp00.com.br;PAULO;21/05/2001;;02/01/2019;;;0;;;;
149;149@testexp00.com.br;FRANCISCO;03/10/2001;;02/01/2019;;;0;;;;
152;152@testexp00.com.br;BARBARA;12/06/1968;;02/01/2019;;;1;;;;
155;155@testexp00.com.br;IDEMAURO;25/08/1968;;03/01/2019;;;0;;;;
157;157@testexp00.com.br;ALESSANDRA;17/06/1979; ;03/01/2019;;;1;;;;
158;158@testexp00.com.br;BARBARA;23/12/1979;;03/01/2019;;;1;;;;
161;161@testexp00.com.br;ALEXANDRE;27/04/1958;;04/01/2019;;;1;;;;
164;164@testexp00.com.br;CAMILA;16/06/1958;;04/01/2019;;;0;;;;
169;169@testexp00.com.br;ALVARO;24/08/1968;;04/01/2019;;;1;;;;
251;251@testexp00.com.br;GEORGE;19/06/1979;F;04/01/2019;NATAL;RN;0;;;;
254;254@testexp00.com.br;MARIA;10/11/1979;F;04/01/2019;GUARULHOS;SP;1;;;;
255;255@testexp00.com.br;MARIA;09/02/1958;F;04/01/2019;SÃO PAULO;SP;1;;;;
258;258@testexp00.com.br;CAROLINE;15/02/1958;F;04/01/2019;BRASÍLIA;DF;1;;;;
260;260@testexp00.com.br;LARA;24/09/1958;F;04/01/2019;SÃO PAULO;SP;0;;;;
261;261@testexp00.com.br;ESTELA;12/02/1958;F;04/01/2019;PORTO ALEGRE;RS;0;;;;
263;263@testexp00.com.br;YVES;14/04/1958;F;04/01/2019;GRAMADO;RS;0;;;;
265;265@testexp00.com.br;MARIA;15/11/1958;F;04/01/2019;SÃO PAULO;SP;0;;;;
267;267@testexp00.com.br;ANDREIA;15/11/1958;F;04/01/2019;FLORIANÓPOLIS;SC;1;;;;
268;268@testexp00.com.br;VITOR;15/05/1979;M;04/01/2019;GRAMADO;RS;1;;;;
271;271@testexp00.com.br;ARIANE;15/05/1979;F;04/01/2019;BARUERI;SP;1;;;;
272;272@testexp00.com.br;MARTA;11/12/1958;F;04/01/2019;SANTA MARIA;RS;1;;;;
273;273@testexp00.com.br;MANOEL;20/01/2001;M;04/01/2019;SANTA MARIA;RS;1;;;;
275;275@testexp00.com.br;GIUSEPPE;24/10/2001;M;04/01/2019;RIO DE JANEIRO;RJ;0;;;;
277;277@testexp00.com.br;LUANA;06/05/1968;M;04/01/2019;RIO DE JANEIRO;RJ;0;;;;
278;278@testexp00.com.br;MARIA;06/05/1968;F;04/01/2019;SÃO PAULO;SP;0;;;;
281;281@testexp00.com.br;FERNANDO;29/07/1968;M;04/01/2019;RECIFE;PE;1;;;;
282;282@testexp00.com.br;FELIPE;24/08/1968;M;04/01/2019;GRAMADO;RS;1;;;;
283;283@testexp00.com.br;ALANA;29/02/1958;F;04/01/2019;RECIFE;PE;1;;;;
286;286@testexp00.com.br;LIVIA;04/03/1958;F;04/01/2019;BRASÍLIA;DF;1;;;;
288;288@testexp00.com.br;TANIA;26/10/1958;F;04/01/2019;GRAMADO;RS;0;;;;
290;290@testexp00.com.br;PRISCILA;26/10/1958;F;04/01/2019;RIO DE JANEIRO;RJ;1;;;;
292;292@testexp00.com.br;SIMONE;27/10/1958;F;04/01/2019;NOVO HAMBURGO;RS;1;;;;
294;294@testexp00.com.br;BENTO;03/11/1958;M;04/01/2019;FLORIANÓPOLIS;SC;1;;;;
296;296@testexp00.com.br;NORMA;19/08/1958;F;04/01/2019;RIO DE JANEIRO;RJ;0;;;;
298;298@testexp00.com.br;SORAYA;11/11/1958;F;04/01/2019;GRAMADO;RS;1;;;;
302;302@testexp00.com.br;BENICIO;04/11/2001;M;04/01/2019;PALHOÇA;SC;1;;;;
303;303@testexp00.com.br;MARIA;02/07/1958;F;04/01/2019;UBERABA;MG;0;;;;
304;304@testexp00.com.br;EULALIA;19/08/1958;;04/01/2019;GRAMADO;RS;1;;;;
307;307@testexp00.com.br;DAPHNE;30/05/2001;F;04/01/2019;PORTO ALEGRE;RS;1;;;;
309;309@testexp00.com.br;SUELLEN;30/05/2001;F;04/01/2019;BRASÍLIA;DF;1;;;;
310;310@testexp00.com.br;EDUARDO;30/05/2001;F;04/01/2019;BRASÍLIA;DF;1;;;;
313;313@testexp00.com.br;MARLY;03/11/2001;F;04/01/2019;RIO DE JANEIRO;RJ;0;;;;
314;314@testexp00.com.br;LUIZ;03/11/2001;M;04/01/2019;PORTO ALEGRE;RS;0;;;;
315;315@testexp00.com.br;PATRICIA;03/11/2001;F;04/01/2019;PORTO ALEGRE;RS;1;;;;
319;319@testexp00.com.br;EDUARDO;24/08/1968;M;04/01/2019;FLORIANÓPOLIS;SC;1;;;;
321;321@testexp00.com.br;RODRIGO;24/08/1968;M;04/01/2019;BOM JARDIM;RJ;1;;;;
322;322@testexp00.com.br;MARIA;24/12/1979;F;04/01/2019;RIO DE JANEIRO;RJ;1;;;;
324;324@testexp00.com.br;RONALDO;24/08/1968;M;04/01/2019;SÃO PAULO;SP;0;;;;
327;327@testexp00.com.br;NADIA;10/06/1988;F;04/01/2019;SÃO PAULO;SP;0;;;;
329;329@testexp00.com.br;WILMA;11/06/1988;F;04/01/2019;RIO DE JANEIRO;RJ;1;;;;
331;331@testexp00.com.br;LORENA;28/06/1988;;04/01/2019;GRAMADO;RS;1;;;;
337;337@testexp00.com.br;RODRIGO;28/06/1988;M;04/01/2019;BENTO GONÇALVES;RS;1;;;;
338;338@testexp00.com.br;NAIANE;28/06/1988;F;04/01/2019;CURITIBA;PR;1;;;;
342;342@testexp00.com.br;DENISLENE;29/06/1988;F;04/01/2019;GRAMADO;RS;0;;;;
345;345@testexp00.com.br;CLEGE;29/06/1988;F;04/01/2019;GARIBALDI;RS;0;;;;
353;353@testexp00.com.br;ANDRE;06/07/1988;M;04/01/2019;SANTANA DE PARNAÍBA;SP;1;;;;
356;356@testexp00.com.br;MIHELLE;09/07/1988;F;04/01/2019;GRAMADO;RS;1;;;;
358;358@testexp00.com.br;NORMA;09/07/1988;;04/01/2019;SÃO PAULO;SP;1;;;;
360;360@testexp00.com.br;KATIA;13/07/1988;F;04/01/2019;RIO DE JANEIRO;RJ;1;;;;
362;362@testexp00.com.br;EDUARDO;15/07/1988;F;04/01/2019;NITERÓI;RJ;0;;;;
364;364@testexp00.com.br;LUCIANA;15/07/1988;F;04/01/2019;GRAMADO;RS;1;;;;
366;366@testexp00.com.br;HOLGA;31/08/1988;F;04/01/2019;AMONTADA;CE;1;;;;
368;368@testexp00.com.br;MILENI;19/09/1988;F;04/01/2019;LARANJEIRAS DO SUL;PR;0;;;;
370;370@testexp00.com.br;FREITAS;20/09/1988;M;04/01/2019;CAPINZAL;SC;1;;;;
